1,1,1,1,1,1,乾为天,
0,0,0,0,0,0,坤为地,
1,0,0,0,1,0,水雷屯,
0,1,0,0,0,1,山水蒙,
1,1,1,0,1,0,水天需,
0,1,0,1,1,1,天水讼,
0,1,0,0,0,0,地水师,
0,0,0,0,1,0,水地比,
1,1,1,0,1,1,风天小畜,
1,1,0,1,1,1,天泽履,
1,1,1,0,0,0,地天泰,
0,0,0,1,1,1,天地否,
1,0,1,1,1,1,天火同人,
1,1,1,1,0,1,火天大有,
0,0,1,0,0,0,地山谦,
0,0,0,1,0,0,雷地豫,
1,0,0,1,1,0,泽雷随,
0,1,1,0,0,1,山风蛊,
1,1,0,0,0,0,地泽临,
0,0,0,0,1,1,风地观,
1,0,0,1,0,1,火雷噬嗑,
1,0,1,0,0,1,山火贲,
0,0,0,0,0,1,山地剥,
1,0,0,0,0,0,地雷复,
1,0,0,1,1,1,天雷无妄,
1,1,1,0,0,1,山天大畜,
1,0,0,0,0,1,山雷颐,
0,1,1,1,1,0,泽风大过,
0,1,0,0,1,0,坎为水,
1,0,1,1,0,1,离为火,
0,0,1,1,1,0,泽山咸,
0,1,1,1,0,0,雷风恒,
0,0,1,1,1,1,天山遯,
1,1,1,1,0,0,雷天大壮,
0,0,0,1,0,1,火地晋,
1,0,1,0,0,0,地火明夷,
1,0,1,0,1,1,风火家人,
1,1,0,1,0,1,火泽睽,
0,0,1,0,1,0,水山蹇,
0,1,0,1,0,0,雷水解,
1,1,0,0,0,1,山泽损,
1,0,0,0,1,1,风雷益,
1,1,1,1,1,0,泽天夬,
0,1,1,1,1,1,天风姤,
0,0,0,1,1,0,泽地萃,
0,1,1,0,0,0,地风升,
0,1,0,1,1,0,泽水困,
0,1,1,0,1,0,水风井,
1,0,1,1,1,0,泽火革,
0,1,1,1,0,1,火风鼎,
1,0,0,1,0,0,震为雷,
0,0,1,0,0,1,艮为山,
0,0,1,0,1,1,风山渐,
1,1,0,1,0,0,雷泽归妹,
1,0,1,1,0,0,雷火丰,
0,0,1,1,0,1,火山旅,
0,1,1,0,1,1,巽为风,
1,1,0,1,1,0,兑为泽,
0,1,0,0,1,1,风水涣,
1,1,0,0,1,0,水泽节,
1,1,0,0,1,1,风泽中孚,
0,0,1,1,0,0,雷山小过,
1,0,1,0,1,0,水火既济,
0,1,0,1,0,1,火水未济,
